iter	Logloss
0	0.6868769223
1	0.6801017283
2	0.6748497916
3	0.6714245697
4	0.6657902722
5	0.6600028358
6	0.6549984611
7	0.6502941727
8	0.6449365871
9	0.6408219825
10	0.634882892
11	0.6304519691
12	0.6254857429
13	0.6208682204
14	0.6165273382
15	0.6110366804
16	0.6063399775
17	0.6019598437
18	0.5971014807
19	0.5935575499
20	0.5894821297
21	0.5847074755
22	0.5800557924
23	0.5759686301
24	0.5716790971
25	0.5677728786
26	0.5645065924
27	0.5619703341
28	0.559150906
29	0.5561434009
30	0.5529257739
31	0.5500520566
32	0.5462233111
33	0.5423707521
34	0.5386684774
35	0.5360440599
36	0.5328827722
37	0.5302539219
38	0.5271385928
39	0.5243839832
40	0.5218494713
41	0.5191380653
42	0.5173885216
43	0.5151094341
44	0.5130149277
45	0.5109432186
46	0.5082536184
47	0.5063704933
48	0.5037423057
49	0.501323828
50	0.4985083928
51	0.4972224037
52	0.4949157843
53	0.4921686315
54	0.4899180816
55	0.4871656758
56	0.4851064969
57	0.4829619177
58	0.480800823
59	0.4791638684
60	0.4772551796
61	0.474884954
62	0.473874325
63	0.4716507622
64	0.4700386703
65	0.4685434887
66	0.4668257978
67	0.4649655419
68	0.4632558022
69	0.461534522
70	0.460543662
71	0.4590412433
72	0.4575358847
73	0.4559922137
74	0.4550750443
75	0.4538701018
76	0.4524371236
77	0.4517970765
78	0.4505417386
79	0.4488300975
80	0.4473713893
81	0.4458201789
82	0.4447355196
83	0.4438233742
84	0.4426568014
85	0.4417763176
86	0.4404368222
87	0.4395173912
88	0.4385643773
89	0.4374599718
90	0.4367984142
91	0.4355459327
92	0.4350830082
93	0.4337557207
94	0.4327324695
95	0.4316913455
96	0.4305707046
97	0.4296440508
98	0.428793431
99	0.4278616339
100	0.4268993374
101	0.4258299577
102	0.4248938178
103	0.4241329294
104	0.4230733472
105	0.4221143236
106	0.4214573047
107	0.4203912312
108	0.419253547
109	0.4185380651
110	0.4181013158
111	0.4177268344
112	0.4167968756
113	0.4156502047
114	0.4147296135
115	0.4139378447
116	0.4130494807
117	0.4121241409
118	0.4111360643
119	0.4104870678
120	0.4096445953
121	0.4087809449
122	0.4085583769
123	0.4079637631
124	0.4077021011
125	0.4069353343
126	0.4067053866
127	0.4059824158
128	0.4056605152
129	0.4049194428
130	0.4044803331
131	0.4037825372
132	0.403298475
133	0.4028348335
134	0.4022543013
135	0.4017709438
136	0.4013717906
137	0.4009786404
138	0.4003718674
139	0.39995836
140	0.3994465945
141	0.3986198812
142	0.3979932751
143	0.3972186031
144	0.3968361144
145	0.3961867226
146	0.3955681991
147	0.3953017154
148	0.3950143622
149	0.3946080748
150	0.3941981811
151	0.3936151301
152	0.3930193709
153	0.3928621845
154	0.3923009367
155	0.3918038275
156	0.39135241
157	0.3907299847
158	0.3902349967
159	0.3896865391
160	0.3891373376
161	0.3889253938
162	0.3884996773
163	0.3880690384
164	0.3877246687
165	0.3872417198
166	0.3870382145
167	0.3865577109
168	0.3862473008
169	0.3856440718
170	0.3852949391
171	0.3848305087
172	0.384535396
173	0.3841896164
174	0.3839317203
175	0.3836360063
176	0.3832306653
177	0.3827058121
178	0.3824193751
179	0.3820870951
180	0.381509663
181	0.3813814648
182	0.3809712423
183	0.3806226902
184	0.3802779529
185	0.3799077658
186	0.3795099568
187	0.3793768848
188	0.3790746121
189	0.3787541193
190	0.3782376725
191	0.3781739287
192	0.377795206
193	0.3775549737
194	0.3770466447
195	0.3767867926
196	0.3763465495
197	0.3761096764
198	0.3760597755
199	0.3756935961
200	0.3754151311
201	0.3751746117
202	0.3748804731
203	0.3746351421
204	0.3742029734
205	0.3738307271
206	0.3736121991
207	0.3733157909
208	0.3728652099
209	0.3726284663
210	0.3723312377
211	0.3721562411
212	0.3718090175
213	0.3715081289
214	0.3712168001
215	0.3709685163
216	0.3706830134
217	0.3704068207
218	0.3701468363
219	0.369867834
220	0.3695724597
221	0.3693528167
222	0.3690431914
223	0.3688256057
224	0.3685830654
225	0.3682992394
226	0.368041558
227	0.3677469395
228	0.3675095963
229	0.3672692582
230	0.3671362525
231	0.3670014708
232	0.3667849992
233	0.3667097408
234	0.3664231222
235	0.3662851069
236	0.3661410995
237	0.3659211598
238	0.3656118853
239	0.3653314307
240	0.3651835066
241	0.3650215
242	0.3648472713
243	0.3644752509
244	0.3642883816
245	0.3640357362
246	0.3636698646
247	0.3634588355
248	0.3633605374
249	0.3631454599
250	0.363001389
251	0.3629418767
252	0.3627096763
253	0.3624768118
254	0.3623013912
255	0.3620475153
256	0.361949141
257	0.3617067965
258	0.361617532
259	0.3612108689
260	0.3611374753
261	0.3608383779
262	0.3605376275
263	0.3603351987
264	0.3602231323
265	0.3600745718
266	0.3599469827
267	0.3596961506
268	0.3595549795
269	0.3593173571
270	0.3591070465
271	0.3589432309
272	0.3588201291
273	0.3585007549
274	0.3582240072
275	0.3581082293
276	0.3578509668
277	0.3578108105
278	0.3576816057
279	0.3575059431
280	0.3572560701
281	0.3569608075
282	0.3567335324
283	0.3564522017
284	0.3562380063
285	0.3560908032
286	0.3559420428
287	0.3557944152
288	0.3555872249
289	0.3553249931
290	0.3551428326
291	0.3548845676
292	0.3548053134
293	0.3545849554
294	0.3544167118
295	0.3542327447
296	0.3540629942
297	0.3537854408
298	0.3536788342
299	0.3536727109
300	0.35346979
301	0.3534312564
302	0.3530881156
303	0.3528960664
304	0.3527248791
305	0.3525994381
306	0.3524765987
307	0.352388058
308	0.3521927088
309	0.3520391408
310	0.3519533852
311	0.3518117586
312	0.3516570569
313	0.3515255831
314	0.3514461188
315	0.3511661729
316	0.351075725
317	0.3508282678
318	0.350702975
319	0.350582454
320	0.3503687747
321	0.3502327375
322	0.349996126
323	0.3499242195
324	0.3497523155
325	0.3496842748
326	0.3495912805
327	0.3494619979
328	0.3492492256
329	0.3490865574
330	0.3488758015
331	0.3487451382
332	0.3485251001
333	0.3484537234
334	0.3482173613
335	0.347905001
336	0.3477952754
